key_count,avg_gap,variance,label
15,0.1858503341674804,0.0220805126126697,0
19,0.1383293804369474,0.0049867831464503,0
14,0.1942792279379708,0.0209533500210524,0
17,0.1240089360405417,0.0029512862550119,0
1,0.303518533706665,0.0,0
14,0.133366686957223,0.0025420586054054,0
19,0.1488170623779297,0.0069438844600785,0
24,0.1208881239096323,0.0041654835631465,0
23,0.1262381076812744,0.0086559628059801,0
19,0.1271334823809172,0.0056359284359441,0
19,0.1421522968693783,0.0063131885749587,0
20,0.1437374234199523,0.0065415140609245,0
21,0.1306691396804083,0.0065558680832309,0
20,0.1469478845596313,0.0064490578670694,0
11,0.2602930285713889,0.1283513279241525,0
21,0.1308771542140415,0.0053079439135789,0
22,0.1286315484480424,0.0065354741819803,0
21,0.1253174713679722,0.0035859993971792,0
16,0.1830467879772186,0.0093021563030992,0
20,0.1007059931755065,0.0019655563043527,0
5,0.1662086009979248,0.0039479913881814,0
15,0.1336395263671875,0.0119861103806003,0
4,0.7050905227661133,0.7813539336798669,0
16,0.1721848100423813,0.0227910910256807,0
13,0.2254730554727407,0.096770864207154,0
18,0.1590698427624172,0.0024420166146658,0
10,0.2241641521453857,0.0117070714514761,0
1,0.1572206020355224,0.0,0
10,0.1830061674118042,0.0014588014175643,0
5,0.5697811126708985,0.5804679811559572,0
10,0.1538771867752075,0.0064848578799916,0
16,0.1094963550567627,0.0734246249547538,0
7,0.1316485064370291,0.0050473341815961,0
14,0.1052074262074061,0.0017774133837184,0
61,0.0408456716381135,0.0037367221161882,0
9,0.2490646839141845,0.0557991506006677,0
22,0.1346323165026578,0.0038851272116191,0
13,0.1206313463357778,0.0030455282111689,0
5,0.1686838150024414,0.0059843930716715,0
16,0.1457191258668899,0.00398589325089,0
1,0.1626625061035156,0.0,0
12,0.0714943408966064,0.0170654079707712,0
1,0.2496345043182373,0.0,0
28,0.0332437327929905,2.913216728697653e-05,0
2,0.2940104007720947,0.0530738727250081,0
1,0.0728232860565185,0.0,0
4,0.6605266332626343,0.8953353046248793,0
2,0.190750241279602,3.006406146255358e-06,0
1,0.0750472545623779,0.0,0
1,0.10498046875,0.0,0
12,0.1234618822733561,0.0053043024075078,0
17,0.1314127164728501,0.0057978016353999,0
10,0.170434308052063,0.0189598864371424,0
16,0.1779367327690124,0.0122428842649391,0
5,0.1783997058868408,0.0136266806186677,0
14,0.1385937588555472,0.0160141878372721,0
3,0.3316957950592041,0.0742693185076177,0
12,0.2109168966611226,0.0146590058595512,0
15,0.1752297719319661,0.0138016317448733,0
15,0.1929022947947184,0.0108506264509353,0
19,0.1525950306340267,0.0061409344551956,0
15,0.1937131722768147,0.0188209084559386,0
17,0.1625652032739976,0.0233277797525748,0
8,0.3566887974739074,0.2445012768752228,0
8,0.2357858419418335,0.0153888698318809,0
4,0.3042576313018799,0.0227588557267779,0
1,0.0243258476257324,0.0,0
1,0.0240046977996826,0.0,0
3,0.207723061243693,0.0052539716598908,0
14,0.1262950386319841,0.0050735976462645,0
3,0.3312300046284993,0.1714491925683256,0
2,0.1775879859924316,1.4705111425428186e-05,0
3,0.2010653018951416,0.0112916888340729,0
22,0.129376086321744,0.0041406515798368,0
25,0.1169265747070312,0.0052720218657623,0
14,0.211561952318464,0.053077423382164,0
14,0.1969389404569353,0.0345466927169353,0
11,0.1809374635869806,0.0113253342477935,0
18,0.1353207031885782,0.007096056319472,0
22,0.1295653256503018,0.0044804841390091,0
22,0.1241766647859053,0.0039606422257189,0
11,0.2290700132196599,0.0507622712525216,0
1,0.0285401344299316,0.0,0
1,0.0530030727386474,0.0,0
1,0.1062178611755371,0.0,0
2,0.264090895652771,0.0017360481956671,0
3,0.8726264635721842,1.3906626160390692,0
7,0.3400872775486537,0.0977648413022646,0
1,0.5419113636016846,0.0,0
1,0.1115317344665527,0.0,0
1,0.0441288948059082,0.0,0
5,0.4421078205108643,0.206711310397909,0
14,0.1958991970334734,0.0257369944202844,0
14,0.1643160581588745,0.018322518811185,0
19,0.1548237800598144,0.0087767882130684,0
22,0.128300590948625,0.0047275036418474,0
7,0.1006483009883335,0.0033200878550402,0
3,0.2488100528717041,0.0640863881391169,0
18,0.1205969783994886,0.006841113353132,0
14,0.2039042200360979,0.0290356365054259,0
10,0.119662594795227,0.0023728430722491,0
3,0.5047152042388916,0.2977413001486866,0
1,0.1251003742218017,0.0,0
1,0.0351817607879638,0.0,0
